rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.7378542510121457,0.0,0.8990129081245254,0.0,0.8596999645233154,0.0,0.029920339584350586,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.7378542510121457,0.8990129081245254
2,0.7327935222672065,0.0,0.7453809162237409,0.0,0.4697427749633789,0.0,0.019946813583374023,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.7327935222672065,0.7453809162237409
2,0.7327935222672065,0.0,0.7453809162237409,0.0,0.4587719440460205,0.0,0.020943641662597656,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.7327935222672065,0.7453809162237409
2,0.7327935222672065,0.0,0.7453809162237409,0.0,0.43586134910583496,0.0,0.019945621490478516,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.7327935222672065,0.7453809162237409
5,0.7317813765182185,0.0,0.7843583902809416,0.0,0.6353001594543457,0.0,0.024932861328125,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.7317813765182185,0.7843583902809416
5,0.7317813765182185,0.0,0.7843583902809416,0.0,0.6362965106964111,0.0,0.02393651008605957,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.7317813765182185,0.7843583902809416
7,0.7246963562753036,0.0,0.7729688686408505,0.0,0.6572391986846924,0.0,0.022938966751098633,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.7246963562753036,0.7729688686408505
8,0.7226720647773279,0.0,1.0,0.0,0.9684078693389893,0.0,0.03391003608703613,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7226720647773279,1.0
9,0.7186234817813765,0.0,0.7603138445963047,0.0,0.5634920597076416,0.0,0.021941423416137695,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.7186234817813765,0.7603138445963047
