rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
1,0.7307692307692306,0.0,0.8547203239686155,0.0,0.8646855354309082,0.0,0.005983829498291016,0.0,0.1,0,10,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 10}",0.7307692307692306,0.8547203239686155
2,0.729757085020243,0.0,0.7294355859276134,0.0,0.9783809185028076,0.0,0.0029921531677246094,0.0,0.1,100,100,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 100}",0.729757085020243,0.7294355859276134
2,0.729757085020243,0.0,0.7294355859276134,0.0,0.9554429054260254,0.0,0.0019948482513427734,0.0,0.1,100,1000,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 1000}",0.729757085020243,0.7294355859276134
2,0.729757085020243,0.0,0.7294355859276134,0.0,0.9753897190093994,0.0,0.0019943714141845703,0.0,1,10,10000,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 10000}",0.729757085020243,0.7294355859276134
5,0.7277327935222672,0.0,0.7555049354593774,0.0,1.1928071975708008,0.0,0.0029921531677246094,0.0,0.1,10,0.0001,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 0.0001}",0.7277327935222672,0.7555049354593774
5,0.7277327935222672,0.0,0.7555049354593774,0.0,1.0751230716705322,0.0,0.002991914749145508,0.0,0.1,10,0.001,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 0.001}",0.7277327935222672,0.7555049354593774
5,0.7277327935222672,0.0,0.7570235383447228,0.0,0.9733943939208984,0.0,0.0029921531677246094,0.0,0.1,10,0.01,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 0.01}",0.7277327935222672,0.7570235383447228
5,0.7277327935222672,0.0,0.8238420652999241,0.0,1.01029634475708,0.0,0.006981611251831055,0.0,1,0,1000,"{'model__eta': 1, 'model__gamma': 0, 'model__lambda': 1000}",0.7277327935222672,0.8238420652999241
9,0.7267206477732794,0.0,0.9131865350544166,0.0,0.9584352970123291,0.0,0.005984306335449219,0.0,0.1,0,0.0001,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 0.0001}",0.7267206477732794,0.9131865350544166
10,0.7257085020242915,0.0,0.7689192609465958,0.0,0.9913463592529297,0.0,0.004986763000488281,0.0,0.001,0,1,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 1}",0.7257085020242915,0.7689192609465958
10,0.7257085020242915,0.0,0.7291824854467224,0.0,1.0212681293487549,0.0,0.004986763000488281,0.0,0.01,100,0.0001,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.0001}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,0.9963333606719971,0.0,0.0029921531677246094,0.0,0.01,100,0.001,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.001}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,1.0142838954925537,0.0,0.003989219665527344,0.0,0.01,100,0.01,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.01}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,1.010296106338501,0.0,0.002992391586303711,0.0,0.01,100,0.1,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 0.1}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,0.9943389892578125,0.0,0.0029921531677246094,0.0,0.01,100,1,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 1}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,0.983367919921875,0.0,0.0029921531677246094,0.0,0.01,100,10,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 10}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,0.9743924140930176,0.0,0.0029916763305664062,0.0,0.01,100,100,"{'model__eta': 0.01, 'model__gamma': 100, 'model__lambda': 100}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.8959757023538345,0.0,0.9723970890045166,0.0,0.00598454475402832,0.0,0.1,0,1,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 1}",0.7257085020242915,0.8959757023538345
10,0.7257085020242915,0.0,0.7291824854467224,0.0,1.036226511001587,0.0,0.003989219665527344,0.0,0.1,100,0.0001,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.0001}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,1.0092988014221191,0.0,0.002992391586303711,0.0,0.1,100,0.001,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.001}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,0.990349292755127,0.0,0.0029921531677246094,0.0,0.1,100,0.01,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.01}",0.7257085020242915,0.7291824854467224
10,0.7257085020242915,0.0,0.7291824854467224,0.0,0.9923441410064697,0.0,0.0029921531677246094,0.0,0.1,100,0.1,"{'model__eta': 0.1, 'model__gamma': 100, 'model__lambda': 0.1}",0.7257085020242915,0.7291824854467224
