rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.708502024291498,0.0,0.7438623133383953,0.0,0.035903215408325195,0.0,0.001994609832763672,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.708502024291498,0.7438623133383953
1,0.708502024291498,0.0,0.7438623133383953,0.0,0.031914472579956055,0.0,0.000997304916381836,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.708502024291498,0.7438623133383953
1,0.708502024291498,0.0,0.7438623133383953,0.0,0.03291130065917969,0.0,0.000997781753540039,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.708502024291498,0.7438623133383953
4,0.7044534412955465,0.0,0.7658820551759049,0.0,0.04288530349731445,0.0,0.0009970664978027344,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.7044534412955465,0.7658820551759049
5,0.6963562753036437,0.0,0.7808149835484688,0.0,0.05086231231689453,0.0,0.000997304916381836,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.6963562753036437,0.7808149835484688
6,0.6811740890688259,0.0,0.791698304226778,0.0,0.04587697982788086,0.0,0.001994609832763672,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.6811740890688259,0.791698304226778
6,0.6811740890688259,0.0,0.791698304226778,0.0,0.04787158966064453,0.0,0.0009989738464355469,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.6811740890688259,0.791698304226778
8,0.6629554655870445,0.0,0.8785117691723614,0.0,0.08078336715698242,0.0,0.001995086669921875,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.6629554655870445,0.8785117691723614
9,0.6508097165991903,0.0,1.0,0.0,0.10372304916381836,0.0,0.0019941329956054688,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.6508097165991903,1.0
