rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.7378542510121457,0.0,0.7347506960263225,0.0,0.013962507247924805,0.0,0.0019953250885009766,0.0,0.01,1e-06,"{'model__C': 0.01, 'model__tol': 1e-06}",0.7378542510121457,0.7347506960263225
1,0.7378542510121457,0.0,0.7347506960263225,0.0,0.013962745666503906,0.0,0.0009984970092773438,0.0,0.01,1e-05,"{'model__C': 0.01, 'model__tol': 1e-05}",0.7378542510121457,0.7347506960263225
1,0.7378542510121457,0.0,0.7347506960263225,0.0,0.012964010238647461,0.0,0.001994609832763672,0.0,0.01,0.0001,"{'model__C': 0.01, 'model__tol': 0.0001}",0.7378542510121457,0.7347506960263225
1,0.7378542510121457,0.0,0.7347506960263225,0.0,0.013962268829345703,0.0,0.000997304916381836,0.0,0.01,0.001,"{'model__C': 0.01, 'model__tol': 0.001}",0.7378542510121457,0.7347506960263225
1,0.7378542510121457,0.0,0.7347506960263225,0.0,0.012964725494384766,0.0,0.0019948482513427734,0.0,0.01,0.01,"{'model__C': 0.01, 'model__tol': 0.01}",0.7378542510121457,0.7347506960263225
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.018949031829833984,0.0,0.000997304916381836,0.0,1,1e-06,"{'model__C': 1, 'model__tol': 1e-06}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.020943880081176758,0.0,0.0009975433349609375,0.0,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.019945621490478516,0.0,0.0009980201721191406,0.0,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.01994633674621582,0.0,0.0009970664978027344,0.0,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.01894855499267578,0.0,0.000997781753540039,0.0,1,0.01,"{'model__C': 1, 'model__tol': 0.01}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.01994609832763672,0.0,0.0019960403442382812,0.0,10,1e-06,"{'model__C': 10, 'model__tol': 1e-06}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.01994609832763672,0.0,0.000997304916381836,0.0,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.018949270248413086,0.0,0.0009970664978027344,0.0,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.020944595336914062,0.0,0.0009970664978027344,0.0,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.01994609832763672,0.0,0.0009975433349609375,0.0,10,0.01,"{'model__C': 10, 'model__tol': 0.01}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.01894974708557129,0.0,0.000997304916381836,0.0,100,1e-06,"{'model__C': 100, 'model__tol': 1e-06}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.018949031829833984,0.0,0.0019953250885009766,0.0,100,1e-05,"{'model__C': 100, 'model__tol': 1e-05}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.019946575164794922,0.0,0.000997304916381836,0.0,100,0.0001,"{'model__C': 100, 'model__tol': 0.0001}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.019947052001953125,0.0,0.0019953250885009766,0.0,100,0.001,"{'model__C': 100, 'model__tol': 0.001}",0.7358299595141702,0.7342444950645406
6,0.7358299595141702,0.0,0.7342444950645406,0.0,0.018949031829833984,0.0,0.0009975433349609375,0.0,100,0.01,"{'model__C': 100, 'model__tol': 0.01}",0.7358299595141702,0.7342444950645406
21,0.7348178137651822,0.0,0.7337382941027588,0.0,0.01994633674621582,0.0,0.000997304916381836,0.0,0.1,1e-06,"{'model__C': 0.1, 'model__tol': 1e-06}",0.7348178137651822,0.7337382941027588
21,0.7348178137651822,0.0,0.7337382941027588,0.0,0.01894998550415039,0.0,0.0009963512420654297,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.7348178137651822,0.7337382941027588
21,0.7348178137651822,0.0,0.7337382941027588,0.0,0.018949270248413086,0.0,0.000997781753540039,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.7348178137651822,0.7337382941027588
21,0.7348178137651822,0.0,0.7337382941027588,0.0,0.01894855499267578,0.0,0.001995086669921875,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.7348178137651822,0.7337382941027588
21,0.7348178137651822,0.0,0.7337382941027588,0.0,0.018948793411254883,0.0,0.001994609832763672,0.0,0.1,0.01,"{'model__C': 0.1, 'model__tol': 0.01}",0.7348178137651822,0.7337382941027588
